iter	Passed	Remaining
779	1149	324
780	1150	322
781	1151	321
782	1152	319
783	1153	317
784	1154	316
785	1156	314
786	1157	313
787	1158	311
788	1159	310
789	1161	308
790	1162	307
791	1164	305
792	1165	304
793	1166	302
794	1167	301
795	1169	299
796	1170	298
797	1172	296
798	1173	295
799	1174	293
800	1176	292
801	1177	290
802	1178	289
803	1179	287
804	1180	285
805	1181	284
806	1182	282
807	1183	281
808	1184	279
809	1186	278
810	1188	276
811	1189	275
812	1190	273
813	1191	272
814	1192	270
815	1193	269
816	1194	267
817	1195	265
818	1196	264
819	1197	262
820	1198	261
821	1200	259
822	1201	258
823	1202	256
824	1203	255
825	1204	253
826	1205	252
827	1206	250
828	1208	249
829	1209	247
830	1210	246
831	1211	244
832	1212	243
833	1213	241
834	1215	240
835	1216	238
836	1217	237
837	1218	235
838	1219	234
839	1220	232
840	1221	230
841	1222	229
842	1223	227
843	1225	226
844	1226	224
845	1227	223
846	1228	221
847	1230	220
848	1231	219
849	1232	217
850	1233	215
851	1234	214
852	1235	212
853	1236	211
854	1237	209
855	1238	208
856	1240	206
857	1241	205
858	1242	203
859	1244	202
860	1245	201
861	1246	199
862	1248	198
863	1249	196
864	1250	195
865	1251	193
866	1252	192
867	1253	190
868	1255	189
869	1256	187
870	1258	186
871	1259	184
872	1260	183
873	1261	181
874	1262	180
875	1264	178
876	1265	177
877	1266	175
878	1267	174
879	1268	172
880	1269	171
881	1271	170
882	1272	168
883	1274	167
884	1275	165
885	1276	164
886	1278	162
887	1279	161
888	1280	159
889	1282	158
890	1283	156
891	1284	155
892	1287	154
893	1289	152
894	1290	151
895	1291	149
896	1292	148
897	1293	146
898	1295	145
899	1296	144
900	1297	142
901	1299	141
902	1300	139
903	1302	138
904	1304	136
905	1306	135
906	1309	134
907	1311	132
908	1312	131
909	1314	129
910	1315	128
911	1317	127
912	1318	125
913	1320	124
914	1321	122
915	1322	121
916	1323	119
917	1324	118
918	1325	116
919	1327	115
920	1328	113
921	1329	112
922	1330	111
923	1332	109
924	1333	108
925	1334	106
926	1335	105
927	1336	103
928	1338	102
929	1339	100
930	1340	99
931	1342	97
932	1343	96
933	1345	95
934	1346	93
935	1347	92
936	1348	90
937	1350	89
938	1351	87
939	1352	86
940	1354	84
941	1356	83
942	1357	82
943	1359	80
944	1360	79
945	1361	77
946	1362	76
947	1363	74
948	1364	73
949	1365	71
950	1367	70
951	1370	69
952	1371	67
953	1373	66
954	1375	64
955	1376	63
956	1378	61
957	1379	60
958	1382	59
959	1383	57
960	1384	56
961	1386	54
962	1387	53
963	1388	51
964	1390	50
965	1391	48
966	1392	47
967	1396	46
968	1397	44
969	1399	43
970	1400	41
971	1402	40
972	1403	38
973	1405	37
974	1407	36
975	1410	34
976	1411	33
977	1413	31
978	1414	30
979	1415	28
980	1417	27
981	1418	25
982	1420	24
983	1421	23
984	1423	21
985	1429	20
986	1432	18
987	1435	17
988	1438	15
989	1440	14
990	1443	13
991	1446	11
992	1447	10
993	1448	8
994	1450	7
995	1451	5
996	1453	4
997	1454	2
998	1456	1
999	1457	0
